,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
85,2015,1,Aguascalientes,1001,Aguascalientes,Corrupción de menores,3,2,6,2,6,4,6.0,3.0,3.0,4.0,4.0,1.0
183,2015,1,Aguascalientes,1002,Asientos,Corrupción de menores,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
281,2015,1,Aguascalientes,1003,Calvillo,Corrupción de menores,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0
379,2015,1,Aguascalientes,1004,Cosío,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
477,2015,1,Aguascalientes,1005,Jesús María,Corrupción de menores,0,0,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0
575,2015,1,Aguascalientes,1006,Pabellón de Arteaga,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
673,2015,1,Aguascalientes,1007,Rincón de Romos,Corrupción de menores,1,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
771,2015,1,Aguascalientes,1008,San José de Gracia,Corrupción de menores,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
869,2015,1,Aguascalientes,1009,Tepezalá,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
967,2015,1,Aguascalientes,1010,El Llano,Corrupción de menores,0,0,2,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1065,2015,1,Aguascalientes,1011,San Francisco de los Romo,Corrupción de menores,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
1163,2015,2,Baja California,2001,Ensenada,Corrupción de menores,5,5,6,5,2,6,3.0,5.0,9.0,9.0,2.0,0.0
1261,2015,2,Baja California,2002,Mexicali,Corrupción de menores,9,5,7,5,10,4,2.0,11.0,4.0,4.0,0.0,2.0
1359,2015,2,Baja California,2003,Tecate,Corrupción de menores,1,0,2,0,1,2,0.0,2.0,1.0,0.0,0.0,0.0
1457,2015,2,Baja California,2004,Tijuana,Corrupción de menores,15,0,20,22,18,17,14.0,12.0,16.0,27.0,8.0,8.0
1555,2015,2,Baja California,2005,Playas de Rosarito,Corrupción de menores,1,0,1,0,0,2,0.0,1.0,1.0,0.0,0.0,0.0
1653,2015,3,Baja California Sur,3001,Comondú,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1751,2015,3,Baja California Sur,3002,Mulegé,Corrupción de menores,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0
1849,2015,3,Baja California Sur,3003,La Paz,Corrupción de menores,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1947,2015,3,Baja California Sur,3008,Los Cabos,Corrupción de menores,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
2045,2015,3,Baja California Sur,3009,Loreto,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2143,2015,4,Campeche,4001,Calkiní,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2241,2015,4,Campeche,4002,Campeche,Corrupción de menores,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
2339,2015,4,Campeche,4003,Carmen,Corrupción de menores,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0
2437,2015,4,Campeche,4004,Champotón,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2535,2015,4,Campeche,4005,Hecelchakán,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2633,2015,4,Campeche,4006,Hopelchén,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2731,2015,4,Campeche,4007,Palizada,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2829,2015,4,Campeche,4008,Tenabo,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2927,2015,4,Campeche,4009,Escárcega,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3025,2015,4,Campeche,4010,Calakmul,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3123,2015,4,Campeche,4011,Candelaria,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3221,2015,5,Coahuila de Zaragoza,5001,Abasolo,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3319,2015,5,Coahuila de Zaragoza,5002,Acuña,Corrupción de menores,0,0,0,0,0,0,0.0,1.0,1.0,1.0,0.0,1.0
3417,2015,5,Coahuila de Zaragoza,5003,Allende,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3515,2015,5,Coahuila de Zaragoza,5004,Arteaga,Corrupción de menores,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0
